S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
20,Rural Development Projects.,Environmental Sustainability,Rajasthan,Pali,0,15.4,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
21,"Non Conventional, Biogas, Solar And Plantation",Gender Equality,Rajasthan,Pali,0,0,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Ambuja Cements Limited
1,Drinking Water Program,Safe Drinking Water,Andhra Pradesh,Guntur,0,2.22,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
2,Integrated Crop Management,Health Care,Chhattisgarh,Raigarh,0,3.68,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
3,Healthcare,Health Care,Gujarat,Ahmedabad,0,3.75,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
4,Others,Livelihood Enhancement Projects,Gujarat,Ahmedabad,0,0.06,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
5,Animal Husbandry And Dairy,Animal Welfare,Gujarat,Nec/ Not Mentioned,0,0.68,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
6,Farmer Producer Organisations,Rural Development Projects,Himachal Pradesh,Solan,0,0.79,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
7,Promotion Of Horticulture And Vegetables Cultivation,Rural Development Projects,Madhya Pradesh,Chhindwara,0,0.76,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
8,Education- School Support Program,Education,Maharashtra,Chandrapur,0,3.81,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
9,Community Healthcare,Health Care,Maharashtra,Nec/ Not Mentioned,0,5.16,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
10,Sanitation,Health Care,Punjab,Nec/ Not Mentioned,0,0.32,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
11,Water Us E Efficiency,Safe Drinking Water,Rajasthan,Nec/ Not Mentioned,0,1.54,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
12,Education- School Support Program,Education,Uttarakhand,Haridwar,0,1.74,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
13,"Non Conventional, Biogas, Solar And Plantation",Conservation Of Natural Resources,West Bengal,Nec/ Not Mentioned,0,0.15,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
14,Sk I L L An D Entrepreneur Ship Development Institute (Sedi),Education,West Bengal,Nec/ Not Mentioned,0,9.95,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
15,Water Harvesting & Recharge,Health Care,West Bengal,Nec/ Not Mentioned,0,3.01,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
16,Monitoring & Research,Rural Development Projects,West Bengal,Nec/ Not Mentioned,0,1.6,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
17,"Project Planning, Design, Strategy & Oversite",Rural Development Projects,West Bengal,Nec/ Not Mentioned,0,13.31,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
18,Rural Development Projects,Rural Development Projects,West Bengal,Nec/ Not Mentioned,0,14.47,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
19,Microenterprise / Income Generation Program In Self Help Groups,Socio-Economic Equalities,West Bengal,Nec/ Not Mentioned,0,0.74,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
20,Special School: Ambuja Manovikas Kendra,Special Education,West Bengal,Nec/ Not Mentioned,0,0.86,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
21,Women Self Help Groups,Women Empowerment,West Bengal,Nec/ Not Mentioned,0,1.75,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
22,Womenfederation,Women Empowerment,West Bengal,Nec/ Not Mentioned,0,0.23,Nec/ Not mentioned,FY 2022-23,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Ambuja Cements Limited
1,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Health Care & Sanitation","Poverty, Eradicating Hunger, Malnutrition",Gujarat,Gir Somnath,3.7,3.7,Other implementing agencies,FY 2020-21,Ambuja Cements Limited
2,Utkarsh Global Foundation For Animal Welfare,Animal Welfare,Maharashtra,Nec/ Not Mentioned,0.03,0.03,Directly by company,FY 2020-21,Ambuja Cements Limited
3,"Monitoring, Research & Evaluation Studies",Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,5.75,5.75,Directly by company,FY 2020-21,Ambuja Cements Limited
4,"Promoting Education, Including Special Education And Employment Enhancing Vocational Skills Especial",Education,Pan India,Nec/ Not Mentioned,15.12,15.12,Directly by company,FY 2020-21,Ambuja Cements Limited
5,"Promoting Education, Including Special Education And Employment Enhancing Vocational Skills Especial",Education,Pan India,Nec/ Not Mentioned,4.5,4.5,Other implementing agencies,FY 2020-21,Ambuja Cements Limited
6,"Ensuring Environmental Sustainability, Ecological Balance, Protection Of Flora And Fauna, Animal Wel",Environmental Sustainability,Pan India,Nec/ Not Mentioned,13.53,13.53,Directly by company,FY 2020-21,Ambuja Cements Limited
7,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Health Care And Sanitatio",Health Care,Pan India,Nec/ Not Mentioned,13.23,13.23,Directly by company,FY 2020-21,Ambuja Cements Limited
8,Supply Of Oxygen Cylinder And Setting Up Oxygen Plants,Setting Up Orphanage,Pan India,Nec/ Not Mentioned,6.36,6.36,Other implementing agencies,FY 2020-21,Ambuja Cements Limited
9,"Promoting Gender Equality, Empowering Women, Setting Up Homes & Hostels For Women & Orphans; Setting",Women Empowerment,Pan India,Nec/ Not Mentioned,0.07,0.07,Directly by company,FY 2020-21,Ambuja Cements Limited
10,Dispatch Of Cement For Charitable Purpose,Socio-Economic Equalities,Rajasthan,Pali,0.25,0.25,Directly by company,FY 2020-21,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,62.54,0,,FY 2020-21,Ambuja Cements Limited
1,"Promoting Education, Including Special Education And Employment Enhancing Vocation Skills Especially",Education,Pan India,Nec/ Not Mentioned,18.74,15.95,Directly by company,FY 2019-20,Ambuja Cements Limited
2,"Ensuring Environmental Sustainability, Ecological Balance, Protection Of Flora And Fauna, Animal Wel",Environmental Sustainability,Pan India,Nec/ Not Mentioned,6.9,6.23,Directly by company,FY 2019-20,Ambuja Cements Limited
3,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Healthcare And Sanitation",Health Care,Pan India,Nec/ Not Mentioned,16.89,16.01,Directly by company,FY 2019-20,Ambuja Cements Limited
4,Rural Development Projects.,Rural Development Projects,Pan India,Nec/ Not Mentioned,13.21,9.38,Directly by company,FY 2019-20,Ambuja Cements Limited
5,"Promoting Gender Equality, Empowering Women, Setting Up Homes And Hostels For Women And Orphans; Set",Women Empowerment,Pan India,Nec/ Not Mentioned,2.02,1.96,Directly by company,FY 2019-20,Ambuja Cements Limited
6,"Disaster Management, Including Relief, Rehabilitation And Reconstruction Activities",Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,2.78,2.78,Directly by company,FY 2019-20,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,60.54,0,,FY 2019-20,Ambuja Cements Limited
1,"Measures For The Benefit Of Armed Forces Veterans, War Widows And Their Dependents.","Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,0,0,Directly by company,FY 2018-19,Ambuja Cements Limited
2,"Promoting Education, Including Special Education And Employment Enhancing Vocation Skills Especially",Education,Pan India,Nec/ Not Mentioned,16.78,17.06,Directly by company,FY 2018-19,Ambuja Cements Limited
3,"Ensuring Environmental Sustainability, Ecological Balance, Protection Of Flora And Fauna, Animal Wel",Environmental Sustainability,Pan India,Nec/ Not Mentioned,9.14,8.73,Directly by company,FY 2018-19,Ambuja Cements Limited
4,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Healthcare And Sanitation",Health Care,Pan India,Nec/ Not Mentioned,15.46,18.38,Directly by company,FY 2018-19,Ambuja Cements Limited
5,Rural Development Projects.,Rural Development Projects,Pan India,Nec/ Not Mentioned,11.72,14.57,Directly by company,FY 2018-19,Ambuja Cements Limited
6,"Promoting Gender Equality, Empowering Women, Setting Up Homes And Hostels For Women And Orphans; Set",Women Empowerment,Pan India,Nec/ Not Mentioned,1.29,2.14,Directly by company,FY 2018-19,Ambuja Cements Limited
7,Contribution To The Prime Minister?\\X1Ax1As National Relief Fund Or Any Other Fund Set Up By The Ce,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,0.1,Directly by company,FY 2018-19,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,54.39,0,,FY 2018-19,Ambuja Cements Limited
1,"Promoting Education, Including Special Education And Employment Enhancing Vocation Skills Especially",Education,Nec/ Not Mentioned,Nec/ Not Mentioned,14.93,14.36,Directly by company,FY 2017-18,Ambuja Cements Limited
2,"Ensuring Environmental Sustainability, Ecological Balance, Protection Of Flora And Fauna, Animal Wel",Environmental Sustainability,Nec/ Not Mentioned,Nec/ Not Mentioned,8.58,7.28,Directly by company,FY 2017-18,Ambuja Cements Limited
3,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Health Care And Sanitatio",Health Care,Nec/ Not Mentioned,Nec/ Not Mentioned,16.81,18.62,Directly by company,FY 2017-18,Ambuja Cements Limited
4,Rural Development Projects.,Rural Development Projects,Nec/ Not Mentioned,Nec/ Not Mentioned,10.05,9.64,Directly by company,FY 2017-18,Ambuja Cements Limited
5,"Training To Promote Rural Sports, Nationally Recognised Sports, Paralympic Sports And Olympic Sports",Rural Development Projects,Nec/ Not Mentioned,Nec/ Not Mentioned,0,0.26,Directly by company,FY 2017-18,Ambuja Cements Limited
6,"Promoting Gender Equality, Empowering Women, Setting Up Homes And Hostels For Women And Orphans; Set",Women Empowerment,Nec/ Not Mentioned,Nec/ Not Mentioned,2.83,1.67,Directly by company,FY 2017-18,Ambuja Cements Limited
7,Contribution To Prime Minister'S National Relief Fund Or Any Other Fund Set Up By The Central Govern,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,0.29,Directly by company,FY 2017-18,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,53.2,0,,FY 2017-18,Ambuja Cements Limited
1,,Nec/ Not Mentioned,Nec/ Not Mentioned,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2016-17,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2016-17,Ambuja Cements Limited
1,"Ensuring Environmental Sustainability, Ecological Balance, Protection Of Flora And Fauna, Animal Wel",Conservation Of Natural Resources,Andhra Pradesh,Nec/ Not Mentioned,8.12,7.77,Directly by company,FY 2015-16,Ambuja Cements Limited
2,"Promoting Education, Including Special Education And Employment Enhancing Vocation Skills Especially",Education,Andhra Pradesh,Nec/ Not Mentioned,7.86,7.73,Directly by company,FY 2015-16,Ambuja Cements Limited
3,Rural Development Projects.,Rural Development Projects,Andhra Pradesh,Nec/ Not Mentioned,8.12,8.01,Directly by company,FY 2015-16,Ambuja Cements Limited
4,"Eradicating Extreme Hunger, Poverty And Malnutrition, Promoting Preventive Health Care And Sanitatio",Sanitation,Andhra Pradesh,Nec/ Not Mentioned,15.17,14.14,Directly by company,FY 2015-16,Ambuja Cements Limited
5,"Promoting Gender Equality, Empowering Women, Setting Up Homes And Hostels For Women And Orphans; Set",Women Empowerment,Andhra Pradesh,Nec/ Not Mentioned,1.37,1.39,Directly by company,FY 2015-16,Ambuja Cements Limited
6,"Training To Promote Rural Sports, Nationally Recognised Sports, Paralympic Sports And Olympic Sports",Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,0.01,Directly by company,FY 2015-16,Ambuja Cements Limited
7,Contribution To PrimeABCDABCD MinisterABCD\X80\X99S National Relief Fund Or Any Other Fund Set Up By,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.29,0.37,Directly by company,FY 2015-16,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,40.93,0,,FY 2015-16,Ambuja Cements Limited
1,Education Differently Abled Livelihood,Education,Pan India,Nec/ Not Mentioned,7.73,7.73,Directly by company,FY 2014-15,Ambuja Cements Limited
2,Environment Animal Welfare Conservation Of Resources,Environmental Sustainability,Pan India,Nec/ Not Mentioned,7.77,7.77,Directly by company,FY 2014-15,Ambuja Cements Limited
3,Any Other Fund,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,1.56,1.56,Directly by company,FY 2014-15,Ambuja Cements Limited
4,Health Eradicating Hunger Poverty And Malnutrition Safe Drinking Water Sanitation,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,14.14,14.14,Directly by company,FY 2014-15,Ambuja Cements Limited
5,Rural Development,Rural Development Projects,Pan India,Nec/ Not Mentioned,8.01,8.01,Directly by company,FY 2014-15,Ambuja Cements Limited
6,Encouraging Sports,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0.01,0.01,Directly by company,FY 2014-15,Ambuja Cements Limited
7,Gender Equality Women Empowerment Old Age Homes Reducing Inequalities,Women Empowerment,Pan India,Nec/ Not Mentioned,1.39,1.39,Directly by company,FY 2014-15,Ambuja Cements Limited
8,Prime Ministers National Relief Fund,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.37,0.37,Directly by company,FY 2014-15,Ambuja Cements Limited
,Grand Total (INR Cr.),,,,40.98,0,,FY 2014-15,Ambuja Cements Limited
1,Sustainable Livelihood,Livelihood Enhancement Projects,Andhra Pradesh,Chittoor,0,117.39,Other Implementing agencies,FY 2023-24,Axis Bank Limited
2,Financial Literacy And Financial Inclusion,Education,Assam,Barpeta,0,20.98,Directly by Company,FY 2023-24,Axis Bank Limited
3,Humanitarian & Relief,Environmental Sustainability,Assam,Marigaon,0,1.16,Other Implementing agencies,FY 2023-24,Axis Bank Limited
4,Education,Education,Delhi,South Delhi,0,0.07,Other Implementing agencies,FY 2023-24,Axis Bank Limited
5,Health & Nutrition,Health Care,Delhi,South Delhi,0,0.17,Other Implementing agencies,FY 2023-24,Axis Bank Limited
6,Financial Literacy And Financial Inclusion,Education,Maharashtra,Raigad,0,5.74,Other Implementing agencies,FY 2023-24,Axis Bank Limited
7,Environmental Sustainability,Environmental Sustainability,Maharashtra,Thane,0,8.82,Other Implementing agencies,FY 2023-24,Axis Bank Limited
8,Education,Education,Manipur,Churachandpur,0,57.94,Other Implementing agencies,FY 2023-24,Axis Bank Limited
9,Humanitarian & Relief,Environmental Sustainability,Manipur,Churachandpur,0,2.17,Other Implementing agencies,FY 2023-24,Axis Bank Limited
10,Health & Nutrition,Health Care,Manipur,Churachandpur,0,2.76,Other Implementing agencies,FY 2023-24,Axis Bank Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Axis Bank Limited
1,Sustainable Livelihood,Livelihood Enhancement Projects,Andhra Pradesh,Chittoor,0,92.6,Other Implementing agencies,FY 2022-23,Axis Bank Limited
2,Relief & Need Based Projects,Health Care,Andhra Pradesh,Krishna,0,10.88,Other Implementing agencies,FY 2022-23,Axis Bank Limited
3,Financial Literacy And Financial Inclusion,Education,Assam,Barpeta,0,28.02,Directly by Company,FY 2022-23,Axis Bank Limited
4,Relief & Need Based Projects,Health Care,Delhi,South Delhi,0,6.43,Other Implementing agencies,FY 2022-23,Axis Bank Limited
5,Education,Education,Maharashtra,Mumbai City,0,0.47,Other Implementing agencies,FY 2022-23,Axis Bank Limited
6,Financial Literacy & Financial Inclusion,Education,Maharashtra,Raigad,0,0.21,Other Implementing agencies,FY 2022-23,Axis Bank Limited
7,Environmental Sustainability,Environmental Sustainability,Maharashtra,Thane,0,1.75,Other Implementing agencies,FY 2022-23,Axis Bank Limited
8,Education,Education,Manipur,Churachandpur,0,31.24,Other Implementing agencies,FY 2022-23,Axis Bank Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Axis Bank Limited
1,Education,Education,Pan India,Nec/ Not Mentioned,8.15,8.15,Other implementing agencies,FY 2021-22,Axis Bank Limited
2,Enviromental Sustainability,Environmental Sustainability,Pan India,Nec/ Not Mentioned,13.45,13.45,Other implementing agencies,FY 2021-22,Axis Bank Limited
3,"Financial Inclusion, Health Care And Financial Literacy Program",Health Care,Pan India,Nec/ Not Mentioned,30,30,Other implementing agencies,FY 2021-22,Axis Bank Limited
4,Sustainable Livelihoods,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,76.88,76.88,Directly by company,FY 2021-22,Axis Bank Limited
5,Relief & Need Based Projects,Sanitation,Pan India,Nec/ Not Mentioned,9.47,9.47,Other implementing agencies,FY 2021-22,Axis Bank Limited
6,Administrative Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.3,0.3,Directly by company,FY 2021-22,Axis Bank Limited
,Grand Total (INR Cr.),,,,138.25,0,,FY 2021-22,Axis Bank Limited
1,Education And Skill Development Program,Education,Pan India,Nec/ Not Mentioned,2.76,2.76,Other implementing agencies,FY 2020-21,Axis Bank Limited
2,"Health, Sanitation & Disaster Relief",Health Care,Pan India,Nec/ Not Mentioned,11.6,11.6,Directly by company,FY 2020-21,Axis Bank Limited
3,Other Initiatives,Health Care,Pan India,Nec/ Not Mentioned,0.55,0.55,Directly by company,FY 2020-21,Axis Bank Limited
4,Donation To Axis Bank Foundation,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,14.86,14.86,Other implementing agencies,FY 2020-21,Axis Bank Limited
5,Sustainable Livelihood,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,38.25,38.25,Other implementing agencies,FY 2020-21,Axis Bank Limited
6,Financial Literacy & Inclusion Program,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,22.85,22.85,Directly by company,FY 2020-21,Axis Bank Limited
7,Administrative Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.07,0.07,Directly by company,FY 2020-21,Axis Bank Limited
,Grand Total (INR Cr.),,,,90.94,0,,FY 2020-21,Axis Bank Limited
1,Education And Skill Development Program,Education,Pan India,Nec/ Not Mentioned,3.19,3.19,Other implementing agencies,FY 2019-20,Axis Bank Limited
2,Environmental Sustainability Program,Environmental Sustainability,Pan India,Nec/ Not Mentioned,3.07,3.07,Other implementing agencies,FY 2019-20,Axis Bank Limited
3,Environmental Disaster Relief,Health Care,Pan India,Nec/ Not Mentioned,1.94,1.94,Other implementing agencies,FY 2019-20,Axis Bank Limited
4,Contribution To Ngos For Conducting Livelihood Program,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,21.27,21.27,Other implementing agencies,FY 2019-20,Axis Bank Limited
5,Donation To Axis Bank Foundation,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,46.77,46.77,Other implementing agencies,FY 2019-20,Axis Bank Limited
6,Financial Inclusion Literacy Program,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,20.13,20.13,Other implementing agencies,FY 2019-20,Axis Bank Limited
7,Msme Sector Building Program,Vocational Skills,Pan India,Nec/ Not Mentioned,2.26,2.26,Other implementing agencies,FY 2019-20,Axis Bank Limited
8,Administrative Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,2.33,2.33,Other implementing agencies,FY 2019-20,Axis Bank Limited
,Grand Total (INR Cr.),,,,100.96,0,,FY 2019-20,Axis Bank Limited
1,Skill Developement,Education,Pan India,Nec/ Not Mentioned,5.56,5.56,Other implementing agencies,FY 2018-19,Axis Bank Limited
2,Environmental Sustainability,Environmental Sustainability,Pan India,Nec/ Not Mentioned,24.52,24.52,Directly by company,FY 2018-19,Axis Bank Limited
3,Health Care,Health Care,Pan India,Nec/ Not Mentioned,0.31,0.31,Other implementing agencies,FY 2018-19,Axis Bank Limited
4,Donation,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,2.76,2.76,Other implementing agencies,FY 2018-19,Axis Bank Limited
5,Livelihood,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,101.19,101.19,Other implementing agencies,FY 2018-19,Axis Bank Limited
6,Financial Literacy,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,1.84,1.84,Other implementing agencies,FY 2018-19,Axis Bank Limited
7,Skill Development,Vocational Skills,Pan India,Nec/ Not Mentioned,1.42,1.42,Directly by company,FY 2018-19,Axis Bank Limited
,Grand Total (INR Cr.),,,,137.6,0,,FY 2018-19,Axis Bank Limited
1,Contribution,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,96.98,96.98,Other implementing agencies,FY 2017-18,Axis Bank Limited
2,Livelihood,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,36.79,36.79,Other implementing agencies,FY 2017-18,Axis Bank Limited
,Grand Total (INR Cr.),,,,133.77,0,,FY 2017-18,Axis Bank Limited
1,Lend A Hand India (Lahi),Education,Assam,Golaghat,0.76,0.47,Other implementing agencies,FY 2016-17,Axis Bank Limited
2,Dhan Foundation,Livelihood Enhancement Projects,Chhattisgarh,Surguja,2.73,4.46,Other implementing agencies,FY 2016-17,Axis Bank Limited
3,Samaj Pragati Sahayog (Sps),Livelihood Enhancement Projects,Gujarat,Anand,5.54,1.84,Other implementing agencies,FY 2016-17,Axis Bank Limited
4,Professional Assistance For Development Action (Pradan),Livelihood Enhancement Projects,Gujarat,Dahod,6.11,6.08,Other implementing agencies,FY 2016-17,Axis Bank Limited
5,N M Sadguru Water And Development Foundation,Livelihood Enhancement Projects,Gujarat,Nec/ Not Mentioned,6.5,4.97,Other implementing agencies,FY 2016-17,Axis Bank Limited
6,Pratibandhi Kalyan Kendra (Pkk),Education,Karnataka,Nec/ Not Mentioned,0.06,0.07,Other implementing agencies,FY 2016-17,Axis Bank Limited
7,Society Undertaking Poor Peoples Onus For Rehabilitation (Support),Education,Karnataka,Nec/ Not Mentioned,0.06,0.05,Other implementing agencies,FY 2016-17,Axis Bank Limited
8,Plan India (India Chapter Of Plan International),Livelihood Enhancement Projects,Karnataka,Nec/ Not Mentioned,4.9,6.81,Other implementing agencies,FY 2016-17,Axis Bank Limited
9,Action For Social Advancement (Asa),Livelihood Enhancement Projects,Madhya Pradesh,Narsimhapur,0.89,0.29,Other implementing agencies,FY 2016-17,Axis Bank Limited
10,Able Disabled All People Together (Adapt),Education,Maharashtra,Mumbai City,0.03,0.03,Other implementing agencies,FY 2016-17,Axis Bank Limited
11,Mba Foundation,Education,Maharashtra,Mumbai City,0.07,0.06,Other implementing agencies,FY 2016-17,Axis Bank Limited
12,Mitra Jyothi,Education,Maharashtra,Mumbai City,0.1,0.07,Other implementing agencies,FY 2016-17,Axis Bank Limited
13,Noida Deaf Society (Nds),Livelihood Enhancement Projects,Maharashtra,Satara,0.24,0.23,Other implementing agencies,FY 2016-17,Axis Bank Limited
14,Dhan Vayalagam Tank Foundation (Dvtf),Livelihood Enhancement Projects,Maharashtra,Yavatmal,2.1,1.7,Other implementing agencies,FY 2016-17,Axis Bank Limited
15,Dilasa Sanstha,Livelihood Enhancement Projects,Odisha,Nec/ Not Mentioned,4.02,5.87,Other implementing agencies,FY 2016-17,Axis Bank Limited
16,Not Mentioned,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2016-17,Axis Bank Limited
17,Self Reliant Initiatives For Joint Action (Srijan),Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,12.28,95.13,Other implementing agencies,FY 2016-17,Axis Bank Limited
18,Foundation For Ecological Security (Fes),Livelihood Enhancement Projects,Tamil Nadu,Sivaganga,4.68,5.36,Other implementing agencies,FY 2016-17,Axis Bank Limited
19,Enable India,Livelihood Enhancement Projects,Uttar Pradesh,Gautam Buddha Nagar,0.48,0.44,Other implementing agencies,FY 2016-17,Axis Bank Limited
20,Aga Khan Rural Support Programme (India) (Akrspi),Livelihood Enhancement Projects,Uttar Pradesh,Mahrajganj,1.21,1.44,Other implementing agencies,FY 2016-17,Axis Bank Limited
21,Shishu Sarothi,Education,West Bengal,Hooghly,0.05,0.04,Other implementing agencies,FY 2016-17,Axis Bank Limited
,Grand Total (INR Cr.),,,,52.81,0,,FY 2016-17,Axis Bank Limited
1,Lend A Hand India (Lahi),Education,Assam,Golaghat,0.69,0.69,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
2,Pardada Pardadi Educational Society (Ppes),Education,Delhi,New Delhi,0.06,0.06,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
3,Montfort Community Trust,Education,Gujarat,Vadodara,0.07,0.08,Nec/ Not mentioned,FY 2015-16,Axis Bank Limited
